Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
12;1000012;Форма банка (без печати работодателя);Ремонт;1;0.59;мужской;0;0;среднее-специальное;менеджер высшего звена;< 50;0;100;51;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;1000032;2НДФЛ;Ремонт;1;0.55;мужской;0;0;высшее;специалист;>250;3;29;52;Другое;Государственное предприятие;женат / замужем;1;0;0;0;0;0.0224719101;0;0;0;0;0.5714285714;4;3;87;7;3;0;7;74;1;0;0;0;0;0;0
12;1000052;2НДФЛ;Ремонт;1;0.23;женский;1;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;1000072;Свободная форма с печатью работодателя;Покупка земли;0;0.32;мужской;0;0;второе высшее;менеджер среднего звена;< 50;0;63;57;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;1000092;Поступление зарплаты на счет;Ремонт;0;0.31;мужской;2;0;высшее;специалист;>250;1;106;34;Торговля;ОАО;женат / замужем;3;3;3;1;1;0.035971223;0;0;0;0;0.6666666667;4;2;134;6;2;1;13;91;1;0;0;0;0;0;0
12;1000112;Форма банка (без печати работодателя);Покупка автомобиля;0;0.22;мужской;1;0;второе высшее;менеджер среднего звена;>250;0;69;30;Информационные технологии;ЗАО;женат / замужем;1;1;0;0;0;0.2867647059;1;0;0;0;0.2727272727;4;7;194;11;2;1;19;98;1;1;1;1;0;0;0
12;1000132;2НДФЛ;Ремонт;1;0.12;мужской;0;0;высшее;менеджер высшего звена;>250;0;28;53;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;1000152;Форма банка (без печати работодателя);Ремонт;0;0.44;мужской;0;0;высшее;менеджер среднего звена;>250;0;65;32;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;1000172;2НДФЛ;Покупка недвижимости/ строительство;0;0.42;мужской;0;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;< 50;0;11;47;Другое;ООО;женат / замужем;3;2;2;1;1;0;1;0;0;0;0.3636363636;4;7;161;11;0;1;12;66;0;0;0;0;0;0;0
12;1000192;Форма банка (без печати работодателя);Покупка недвижимости/ строительство;0;0.58;мужской;0;0;Высшее/Второе высшее/Ученая степень;специалист;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
